"name_en","name_ar_ku","institution_type","governorate","city","website","phone","email","address","latitude","longitude","status","verification_label","notes"
"College of Education Ibn Rushd University of Baghdad","كلية التربية ابن رشد جامعة بغداد","academic division","Baghdad","","https://ircoedu.uobaghdad.edu.iq","","","","33.353853","44.390924","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q12235909"
"University of Baghdad College of Fine Arts","كلية الفنون الجميلة","art academy","Baghdad","","","","","","33.3152","44.3676","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123483"
"Institute of Fine Art in Baghdad","معهد الفنون الجميلة","educational institution","Baghdad","","","","","Baghdad Governorate","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12244320"
"كلية التربية بجامعة بغداد","كلية التربية بجامعة بغداد","academic division","Baghdad","","","","","","33.35388634","44.39150043","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235925"
"كلية الإعلام جامعة بغداد","كلية الإعلام جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q20412375"
"Osol Aldeen University College","كلية أصول الدين الجامعة","academic institution","Baghdad","","","","","Baghdad","33.35460455","44.38739369","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450390"
"كلية المصطفى الجامعة","كلية المصطفى الجامعة","private university","Baghdad","","","","","Baghdad","33.36160807","44.39986551","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450392"
"كلية العراق صدر الجامعة","كلية العراق صدر الجامعة","private university","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q22689359"
"Kullīyat al-Isrāʼ al-Jāmiʻah","كلية الأسراء الجامعة","private university","Baghdad","","","","","Baghdad","33.31664309","44.42679928","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450393"
"كلية العلوم الإسلامية","كلية العلوم الإسلامية","university","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q22689360"
"Police College","","police college","Baghdad","","","","","","33.33432","44.43893","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856060"
"Al Mamoon","","university","Baghdad","","","","","","33.29949","44.32561","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856065"
"University of Baghdad Al-Waziriya Campus College of Administration and Economy","","business school","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99287166"
"University of Baghdad Bab Al-Moadham Campus College of Pharmacy","","faculty of pharmacy","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99289512"
"University of Baghdad Al-Waziriya Campus College of Law","","law school","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99298266"
"University of Baghdad Nahda Cross Road Campus Al-Kindy College of Medicine","","medical school","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99298730"
"University of Baghdad Bab al-Moadham Campus College of Medicine","","medical school","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99298729"
"College of Science for Women, University of Baghdad","","college","Baghdad","","https://en.csw.uobaghdad.edu.iq","","","Baghdad Governorate","","","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q52661224"
"University of Baghdad Department of Civil Engineering","","engineering college","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99290330"
"University of Baghdad Al-Jaderyia Campus Al-Khwarizmi College of Engineering","","engineering college","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99290329"
"University of Baghdad College of Engineering","","engineering college","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q100998798"
"Ashur University","","higher education institution","Baghdad","","https://au.edu.iq","","","Baghdad","","","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q130473927"
"Mashreq University","جامعة المشرق الأهلية","private university","Baghdad","","https://www.uom.edu.iq","","","Baghdad","33.27447083","44.27098885","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q110499462"
"كلية الشرق الأوسط الجامعة الأهلية","كلية الشرق الأوسط الجامعة الأهلية","private university","Baghdad","","https://www.meuc.edu.iq","","","Baghdad","33.30851841","44.20251985","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q114757071"
"Judicial Institute of Iraq","المعهد القضائي (العراق)","school","Baghdad","","","","","Adhamiya district","33.37288889","44.38613889","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q111412852"
"كلية علوم الهندسة الزراعية","كلية علوم الهندسة الزراعية","college","Baghdad","","https://coagri.uobaghdad.edu.iq","","","Al-Jadriya","33.268799","44.379015","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q115012701"
"Faculty of Law, University of Baghdad","كلية القانون بجامعة بغداد","academic division","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q118929466"
"College of Agriculture – University of Baghdad.","","research institute","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q74551479"
"Gilgamesh University","جامعة كلكامش الأهلية","private university","Baghdad","","https://www.gau.edu.iq/index.html","9647730000000.0","","Baghdad","33.22242234","44.3888203","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q114756355"
"University of Al-Ma'mun","كلية المأمون الجامعة","educational institution","Baghdad","","http://www.almamonuc.org","","","Baghdad","33.337733","44.339853","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236075"
"Baghdad Nuclear Research Facility","منشأة التويثة للأبحاث النووية","laboratory","Baghdad","","","","","","33.205","44.515","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4841818"
"American University of Iraq - Baghdad","الجامعة الأمريكية في بغداد","private university","Baghdad","","https://auib.edu.iq","","","Baghdad Governorate","33.28456395","44.25648361","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q107675529"
"كلية العلوم السياسية جامعة بغداد","كلية العلوم السياسية جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236041"
"كلية اللغات جامعة بغداد","كلية اللغات جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236074"
"Uruk University","جامعة أوروك","academic institution","Baghdad","","https://uruk.edu.iq","","","Baghdad","33.3088022","44.43962162","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450682"
"College of Science – University of Baghdad","كلية العلوم بجامعة بغداد","educational institution","Baghdad","","http://www.scbaghdad.edu.iq","","","","","","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q5146838"
"College of Medicine University of Baghdad","كلية الطب بجامعة بغداد","medical school","Baghdad","","","","","","33.3152","44.3661","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q5146773"
"كلية الآمال الجامعة","كلية الآمال الجامعة","private university","Baghdad","","","","","Baghdad","33.29335115","44.40346165","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450680"
"College of Dentistry University of Baghdad","كلية طب الأسنان","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q5146674"
"Baghdad College for Economic Sciences University","كلية بغداد للعلوم الاقتصادية الجامعة","private university","Baghdad","","http://baghdadcollege.edu.iq","","","Baghdad","33.34083333","44.33472222","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4841812"
"Alrafidain University College","كلية الرافدين الجامعة","private university","Baghdad","","http://www.coalrafidain.edu.iq","","","Baghdad","33.36416667","44.40722222","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4735687"
"Alasifia school","مدرسة الآصفية","school","Baghdad","","","","","Baghdad","33.3775393","44.3706411","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12241633"
"Q138647637","","madrasa","Baghdad","","","","","Baghdad","33.34647496","44.38323283","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q138647637"
"Madenat Alelem University College","كلية مدينة العلم الجامعة","private university","Baghdad","","http://www.madenatalelem.com","","","Baghdad","33.39429318","44.3082036","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6727119"
"كلية طب الكندي بجامعة بغداد","كلية طب الكندي بجامعة بغداد","college","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236151"
"Baghdad Conservatory","معهد الموسيقى العراقي","conservatory","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4841811"
"Technical College","الكلية التقنية الهندسية البصرة","school","Basra","","","","","","30.45583333","47.77166667","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4119482"
"كلية التمريض جامعة البصرة","كلية التمريض جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235935"
"كلية الصيدلة جامعة البصرة","كلية الصيدلة جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236001"
"كلية الزراعة جامعة البصرة","كلية الزراعة جامعة البصرة","academic division","Basra","","http://cab.uobasrah.edu.iq","","","Basra","30.562221","47.744155","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q12235978"
"كلية الإدارة والاقتصاد جامعة البصرة","كلية الإدارة والاقتصاد جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235878"
"كلية التربية الرياضية جامعة البصرة","كلية التربية الرياضية جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235914"
"كلية التربية جامعة البصرة","كلية التربية جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235921"
"كلية التربية للبنات جامعة البصرة","كلية التربية للبنات جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235931"
"كلية البصرة الجامعة للعلوم والتكنولوجيا","كلية البصرة الجامعة للعلوم والتكنولوجيا","private university","Basra","","","","","Basra","30.49772016","47.82886914","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123227"
"كلية التربية الإنسانية جامعة البصرة","كلية التربية الإنسانية جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123243"
"University of Basrah College of Fine Arts","كلية الاداب جامعة البصرة","academic division","Basra","","","","","Basra","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235886"
"Basrah University College of Science and Technology","","academic institution","Basra","","http://basrah-college.com","","","Basra","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q24882941"
"Basrah Technical College","","university","Basra","","","","","","30.45567","47.77166","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856062"
"Q26856076","","university","Basra","","","","","","30.568","47.749","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856076"
"University of Basrah Faculty of Law","","law school","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q101012634"
"University of Basrah College of Medicine","","medical school","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q101012633"
"University of Basrah College of Agriculture","","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q101012632"
"Duwayhes School","مدرسة الدويحس","school","Basra","","","","","Basra","30.391435","47.705717","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q112195076"
"al-Najat School","مدرسة النجاة الأهلية","school","Basra","","","","","Az Zubayr","30.39519283","47.70144173","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q112166580"
"كلية العلوم جامعة البصرة","كلية العلوم جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236054"
"كلية الفنون الجميلة جامعة البصرة","كلية الفنون الجميلة جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236060"
"كلية القانون جامعة البصرة","كلية القانون جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236068"
"كلية طب الأسنان جامعة البصرة","كلية طب الأسنان جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236145"
"College of Medicine University of Basra","كلية الطب جامعة البصرة","academic division","Basra","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236024"
"Basrah Medical College","كلية طب البصرة","medical school","Basra","","http://www.basmedcol.edu.iq","","","Basra","","","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4867876"
"al-Mirbad University","جامعة المربد","university","Basra","","","","","Az Zubayr","30.410556","47.722875","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q130543674"
"University of Basrah College of Engineering","كلية الهندسة جامعة البصرة","academic division","Basra","","","","","Basra","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12236113"
"Al-Hadba University","كلية الحدباء الجامعة","educational institution","Nineveh","","","","","Mosul","36.34456","43.14462","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4702441"
"French International School MLF Danielle Mitterrand","المدرسة الدولية الفرنسية دانيال ميتران","school","Nineveh","","","","","","36.27765","44.0078812","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q19838939"
"British Royal University","الجامعة الملكية البريطانية","educational institution","Nineveh","","http://broyalu.net","","","Erbil","36.21831","44.02138","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q30266443"
"University of Mosul Nineveh Medicine College","","medical school","Nineveh","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99298734"
"Rand Institute","معهد رند","private school","Nineveh","","https://rand-institutee.com","","","Duhok","36.8555919","42.960947","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q111829018"
"Q138647658","","madrasa","Nineveh","","","","","Nineveh","36.3157234","41.8663101","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q138647658"
"University of Kurdistan Hewler","جامعة كردستان","university","Erbil","","https://www.ukh.edu.krd","","","Erbil","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q3668446"
"French International School MLF Danielle Mitterrand","المدرسة الدولية الفرنسية دانيال ميتران","school","Erbil","","","","","","36.27765","44.0078812","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q19838939"
"الجامعة الملكية البريطانية","الجامعة الملكية البريطانية","educational institution","Erbil","","","","","Erbil","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q7184253"
"Al-Hadba University","كلية الحدباء الجامعة","educational institution","Duhok","","","","","Mosul","36.34456","43.14462","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4702441"
"French International School MLF Danielle Mitterrand","المدرسة الدولية الفرنسية دانيال ميتران","school","Duhok","","","","","","36.27765","44.0078812","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q19838939"
"Dohuk Polytechnic University","جامعة دهوك التقنية","university","Duhok","","http://dpu.edu.krd","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q20181523"
"University of Duhok School of Medicine","","academic department","Duhok","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q101012635"
"University of Duhok Faculty of Medical Science","","medical school","Duhok","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q101012636"
"Q5942573","","university","Anbar","","","","","","32.616367","44.032303","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q5942573"
"كلية الطب جامعة الأنبار","كلية الطب جامعة الأنبار","medical school","Anbar","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123372"
"كلية الحسين الهندسية الجامعة","كلية الحسين الهندسية الجامعة","private university","Anbar","","","","","Karbala","32.50693527","44.13279787","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450385"
"كلية الصفوة الجامعة","كلية الصفوة الجامعة","academic institution","Anbar","","","","","Karbala","32.62387443","44.00657836","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450311"
"Karbala Technical Institute","","university","Anbar","","","","","","32.5754","44.1732","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856078"
"University of Anbar College of Engineering","","engineering college","Anbar","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99290328"
"College of Basic Education - Haditha","كلية التربية الأساسية","educational institution","Anbar","","https://www.uoanbar.edu.iq/BasicEducationCollege","","","","34.182683","42.375884","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q112320548"
"كلية التربية - القائم","كلية التربية - القائم","academic division","Anbar","","https://www.uoanbar.edu.iq/QECollege","","","","34.364272","41.164192","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q112710961"
"Shamash School","مدرسة شماش","secondary school","Diyala","","","","","Baghdad","33.3201","44.4205","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q7487432"
"Mosque of Morgan","جامع مرجان","school","Diyala","","","","","Baghdad","33.339","44.3935","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12204368"
"Markaziyah High School","الإعدادية المركزية","secondary school","Diyala","","","","","Baghdad","33.315","44.3661","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6770580"
"Mosque of Ahmadiyah","جامع الأحمدية","school","Diyala","","","","","Baghdad","33.34361111","44.38583333","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12204184"
"Mustansiriyya Madrasa","المدرسة المستنصرية","madrasa","Diyala","","","","","Baghdad","33.3385","44.3896","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q15260416"
"University of Baghdad College of Fine Arts","كلية الفنون الجميلة","art academy","Diyala","","","","","","33.3152","44.3676","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123483"
"كلية التربية بجامعة بغداد","كلية التربية بجامعة بغداد","academic division","Diyala","","","","","","33.35388634","44.39150043","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235925"
"Osol Aldeen University College","كلية أصول الدين الجامعة","academic institution","Diyala","","","","","Baghdad","33.35460455","44.38739369","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450390"
"كلية المصطفى الجامعة","كلية المصطفى الجامعة","private university","Diyala","","","","","Baghdad","33.36160807","44.39986551","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450392"
"Kullīyat al-Isrāʼ al-Jāmiʻah","كلية الأسراء الجامعة","private university","Diyala","","","","","Baghdad","33.31664309","44.42679928","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450393"
"Q26856070","","university","Diyala","","","","","","33.37028","44.38151","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856070"
"Police College","","police college","Diyala","","","","","","33.33432","44.43893","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856060"
"Bilad Alrafidain University College","كلية بلاد الرافدين الجامعة","academic institution","Diyala","","https://bauc14.edu.iq","","","Baqubah","33.77904576","44.60284786","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450410"
"University of Diyala College of Medicine","","medical school","Diyala","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q101012631"
"Judicial Institute of Iraq","المعهد القضائي (العراق)","school","Diyala","","","","","Adhamiya district","33.37288889","44.38613889","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q111412852"
"Baghdad Nuclear Research Facility","منشأة التويثة للأبحاث النووية","laboratory","Diyala","","","","","","33.205","44.515","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4841818"
"College of Medicine University of Baghdad","كلية الطب بجامعة بغداد","medical school","Diyala","","","","","","33.3152","44.3661","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q5146773"
"كلية الآمال الجامعة","كلية الآمال الجامعة","private university","Diyala","","","","","Baghdad","33.29335115","44.40346165","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450680"
"Alasifia school","مدرسة الآصفية","school","Diyala","","","","","Baghdad","33.3775393","44.3706411","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12241633"
"Q138647637","","madrasa","Diyala","","","","","Baghdad","33.34647496","44.38323283","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q138647637"
"Shamash School","مدرسة شماش","secondary school","Salah al-Din","","","","","Baghdad","33.3201","44.4205","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q7487432"
"Mosque of Morgan","جامع مرجان","school","Salah al-Din","","","","","Baghdad","33.339","44.3935","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12204368"
"Markaziyah High School","الإعدادية المركزية","secondary school","Salah al-Din","","","","","Baghdad","33.315","44.3661","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6770580"
"Mosque of Ahmadiyah","جامع الأحمدية","school","Salah al-Din","","","","","Baghdad","33.34361111","44.38583333","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12204184"
"Mustansiriyya Madrasa","المدرسة المستنصرية","madrasa","Salah al-Din","","","","","Baghdad","33.3385","44.3896","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q15260416"
"University of Baghdad College of Fine Arts","كلية الفنون الجميلة","art academy","Salah al-Din","","","","","","33.3152","44.3676","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123483"
